"Path","FileVersion","Product","Company","Bytes"
"Runtime\Backends\chatllm.cpp\v24\win-x64\ggml-cpu-alderlake.dll",,,,"893952"
"Runtime\Backends\chatllm.cpp\v24\win-x64\ggml-cpu-cannonlake.dll",,,,"1004544"
"Runtime\Backends\chatllm.cpp\v24\win-x64\ggml-cpu-cascadelake.dll",,,,"1001472"
"Runtime\Backends\chatllm.cpp\v24\win-x64\ggml-cpu-haswell.dll",,,,"896000"
"Runtime\Backends\chatllm.cpp\v24\win-x64\ggml-cpu-icelake.dll",,,,"1001472"
"Runtime\Backends\chatllm.cpp\v24\win-x64\ggml-cpu-sandybridge.dll",,,,"857600"
"Runtime\Backends\chatllm.cpp\v24\win-x64\ggml-cpu-skylakex.dll",,,,"1004544"
"Runtime\Backends\chatllm.cpp\v24\win-x64\ggml-cpu-sse42.dll",,,,"760832"
"Runtime\Backends\chatllm.cpp\v24\win-x64\ggml-cpu-x64.dll",,,,"764928"
"Runtime\Backends\chatllm.cpp\v24\win-x64\ggml-rpc.dll",,,,"117760"
"Runtime\Backends\chatllm.cpp\v24\win-x64\ggml-vulkan.dll",,,,"56728064"
"Runtime\Backends\chatllm.cpp\v24\win-x64\ggml.dll",,,,"67584"
"Runtime\Backends\chatllm.cpp\v24\win-x64\libchatllm.dll",,,,"4057088"
"Runtime\Backends\chatllm.cpp\v24\win-x64\libcrypto-1_1-x64.dll","1.1.1k","The OpenSSL Toolkit","The OpenSSL Project, https://www.openssl.org/","2815560"
"Runtime\Backends\chatllm.cpp\v24\win-x64\libssl-1_1-x64.dll","1.1.1k","The OpenSSL Toolkit","The OpenSSL Project, https://www.openssl.org/","549960"
"Runtime\Backends\chatllm.cpp\v24\win-x64\LICENSE-chatllm.txt",,,,"1083"
"Runtime\Backends\chatllm.cpp\v24\win-x64\main.exe",,,,"4081664"
"Runtime\Backends\chatllm.cpp\v24\win-x64\main_nim.exe",,,,"1143940"
"Runtime\Backends\chatllm.cpp\v24\win-x64\server.exe",,,,"3712439"
"Runtime\Backends\chatllm.cpp\v24\win-x64\vulkan-1.dll","1.4.304.0","Vulkan Runtime","","1567000"
"Runtime\Backends\chatllm.cpp\v24\win-x64\imagemagick\compare.exe","7.1.2-30","ImageMagick","ImageMagick Studio","31202480"
"Runtime\Backends\chatllm.cpp\v24\win-x64\imagemagick\composite.exe","7.1.2-30","ImageMagick","ImageMagick Studio","31202480"
"Runtime\Backends\chatllm.cpp\v24\win-x64\imagemagick\conjure.exe","7.1.2-30","ImageMagick","ImageMagick Studio","31202480"
"Runtime\Backends\chatllm.cpp\v24\win-x64\imagemagick\identify.exe","7.1.2-30","ImageMagick","ImageMagick Studio","31202480"
"Runtime\Backends\chatllm.cpp\v24\win-x64\imagemagick\LICENSE.txt",,,,"12663"
"Runtime\Backends\chatllm.cpp\v24\win-x64\imagemagick\magick.exe","7.1.2-30","ImageMagick","ImageMagick Studio","31202480"
"Runtime\Backends\chatllm.cpp\v24\win-x64\imagemagick\mogrify.exe","7.1.2-30","ImageMagick","ImageMagick Studio","31202480"
"Runtime\Backends\chatllm.cpp\v24\win-x64\imagemagick\montage.exe","7.1.2-30","ImageMagick","ImageMagick Studio","31202480"
"Runtime\Backends\chatllm.cpp\v24\win-x64\imagemagick\NOTICE.txt",,,,"426299"
"Runtime\Backends\chatllm.cpp\v24\win-x64\imagemagick\stream.exe","7.1.2-30","ImageMagick","ImageMagick Studio","31202480"
